image	align	resize	rotate	crop	mask	sym	mirror	order	outname
/composites/f_multi.jpg	DEFAULT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/align_default.jpg
/composites/f_easian.jpg	FRL	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/align_frl.jpg
/composites/f_african.jpg	0,1,200,300,400,300,600,600	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/align_square.jpg
/composites/f_white.jpg	FALSE	50%	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/resize_50_percent.jpg
/composites/f_wasian.jpg	FALSE	null,400px	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/resize_400px_tall.jpg
/composites/m_multi.jpg	FALSE	200px,200px	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/resize_200x200px.jpg
/composites/m_easian.jpg	FALSE	300px,null	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/resize_300px_wide.jpg
/composites/m_african.jpg	FALSE	50%,25%	FALSE	FALSE	FALSE	FALSE	FALSE		/edit_test/resize_50x25_percent.jpg
/composites/m_white.jpg	FALSE	FALSE	90	FALSE	FALSE	FALSE	FALSE		/edit_test/rotate_90.jpg
/composites/m_wasian.jpg	FALSE	FALSE	45,rgb(255,0,0)	FALSE	FALSE	FALSE	FALSE		/edit_test/rotate_45red.jpg
/composites/f_multi.jpg	FALSE	FALSE	-90	FALSE	FALSE	FALSE	FALSE		/edit_test/rotate_neg90.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	-300,0,-300,0	FALSE	FALSE	FALSE		/edit_test/crop_short.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	100,100,100,100,rgb(0,255,0)	FALSE	FALSE	FALSE		/edit_test/crop_green_border.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(face),10,rgb(255,0,0)	FALSE	FALSE		/edit_test/mask_red.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(face),0,rgb(0,255,0)	FALSE	FALSE		/edit_test/mask_green.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(face,neck,ears),0	FALSE	FALSE		/edit_test/mask_face_neck_ears.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(neck),0	FALSE	FALSE		/edit_test/mask_neck.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(left_eye),0	FALSE	FALSE		/edit_test/mask_left_eye.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(right_eye),0	FALSE	FALSE		/edit_test/mask_right_eye.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(eyes),0	FALSE	FALSE		/edit_test/mask_eyes.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(left_brow),0	FALSE	FALSE		/edit_test/mask_left_brow.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(right_brow),0	FALSE	FALSE		/edit_test/mask_right_brow.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(brows),0	FALSE	FALSE		/edit_test/mask_brows.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(left_ear),0	FALSE	FALSE		/edit_test/mask_left_ear.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(right_ear),0	FALSE	FALSE		/edit_test/mask_right_ear.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(ears),0	FALSE	FALSE		/edit_test/mask_ears.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(nose),0	FALSE	FALSE		/edit_test/mask_nose.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	(mouth),0	FALSE	FALSE		/edit_test/mask_mouth.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	FALSE	shape,color	FALSE		/edit_test/sym_shape_color.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	FALSE	shape	FALSE		/edit_test/sym_shape.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	FALSE	color	FALSE		/edit_test/sym_color.jpg
/composites/f_multi.jpg	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		/edit_test/mirror.jpg
/composites/f_multi.jpg	FRL	50%	90	10,10,10,10,rgb(255,0,0)	(face),0,rgb(255,255,255)	shape,color	FALSE		/edit_test/multi_1a.jpg
/composites/f_multi.jpg	FRL	50%	90	10,10,10,10,rgb(255,0,0)	(face),0,rgb(255,255,255)	shape,color	FALSE	align,resize,rotate,crop,mask,sym	/edit_test/multi_1b.jpg
/composites/f_multi.jpg	FRL	50%	90	10,10,10,10,rgb(255,0,0)	(face),0,rgb(255,255,255)	shape,color	FALSE	resize,rotate,crop,mask,sym,align	/edit_test/multi_2.jpg
/composites/f_multi.jpg	FRL	50%	90	10,10,10,10,rgb(255,0,0)	(face),0,rgb(255,255,255)	shape,color	FALSE	crop,resize,sym,align	/edit_test/multi_3.jpg
/composites/f_multi.jpg	0,1,200,300,400,300,600,600	50%	90	10,10,10,10,rgb(255,0,0)	(face),0,rgb(255,255,255)	shape,color	FALSE	crop	/edit_test/multi_4.jpg
/composites/f_multi.jpg	0,1,200,300,400,300,600,600	50%	90	10,10,10,10,rgb(255,0,0)	(face),0,rgb(255,255,255)	shape,color	FALSE	crop,crop	/edit_test/multi_5.jpg
